subjid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
d2YvnIb1SzT5XLred,"{'dragY': 0, 'event': 'dragend', 'timestamp': 1680634169061, 'dragX': 7.77777099609375}","{'dragX': 13.77777099609375, 'dragY': -12, 'timestamp': 1680634170185, 'event': 'dragend'}","{'dragY': 16, 'event': 'dragend', 'timestamp': 1680634171191, 'dragX': -16.22222900390625}","{'timestamp': 1680634172181, 'event': 'dragend', 'dragX': 7.77777099609375, 'dragY': 12}","{'timestamp': 1680634173127, 'dragX': -0.22222900390625, 'event': 'dragend', 'dragY': -6}","{'dragX': 1.77777099609375, 'dragY': -22, 'timestamp': 1680634174049, 'event': 'dragend'}","{'event': 'checkcorrect', 'timestamp': 1680634175963, 'fails': 0, 'correct': True, 'attempts': 1, 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'name': 'bananabasket', 'y': 525, 'x': 150}, {'y': 570.5, 'x': 133, 'name': 'apple'}, {'y': 570.5, 'name': 'apple', 'x': 137}, {'name': 'apple', 'y': 570.5, 'x': 181}, {'y': 570.5, 'x': 158, 'name': 'apple'}, {'x': 700, 'name': 'banana', 'y': 570.5}, {'y': 570.5, 'x': 706, 'name': 'banana'}]}","{'correct': True, 'locations': [{'x': 150, 'name': 'applebasket', 'y': 525}, {'x': 150, 'name': 'bananabasket', 'y': 525}, {'name': 'apple', 'y': 570.5, 'x': 133}, {'x': 137, 'y': 570.5, 'name': 'apple'}, {'x': 181, 'y': 570.5, 'name': 'apple'}, {'name': 'apple', 'x': 158, 'y': 570.5}, {'x': 700, 'name': 'banana', 'y': 570.5}, {'y': 570.5, 'x': 706, 'name': 'banana'}], 'attempts': 1, 'event': 'success', 'timestamp': 1680634175966, 'fails': 0}",,,,,,,,,,,,,,
GaoxGQc1Xmby2bred,"{'dragX': 12, 'event': 'dragend', 'timestamp': 1680634087802, 'dragY': 30}","{'timestamp': 1680634089803, 'event': 'dragend', 'dragY': -20, 'dragX': 14}","{'timestamp': 1680634091819, 'event': 'dragend', 'dragX': 42, 'dragY': -14}","{'dragY': 10, 'event': 'dragend', 'timestamp': 1680634093384, 'dragX': 20}","{'dragY': 18, 'event': 'dragend', 'timestamp': 1680634095174, 'dragX': -20}","{'dragX': 4, 'timestamp': 1680634097340, 'dragY': -12, 'event': 'dragend'}","{'event': 'checkcorrect', 'correct': True, 'fails': 0, 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'y': 525, 'name': 'bananabasket', 'x': 150}, {'name': 'apple', 'x': 144, 'y': 570.5}, {'x': 137, 'name': 'apple', 'y': 570.5}, {'y': 570.5, 'x': 126, 'name': 'apple'}, {'x': 150, 'name': 'apple', 'y': 570.5}, {'name': 'banana', 'y': 570.5, 'x': 674}, {'name': 'banana', 'x': 675, 'y': 570.5}], 'timestamp': 1680634098177, 'attempts': 1}","{'correct': True, 'fails': 0, 'attempts': 1, 'event': 'success', 'timestamp': 1680634098186, 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'x': 150, 'name': 'bananabasket', 'y': 525}, {'x': 144, 'y': 570.5, 'name': 'apple'}, {'x': 137, 'name': 'apple', 'y': 570.5}, {'y': 570.5, 'name': 'apple', 'x': 126}, {'y': 570.5, 'x': 150, 'name': 'apple'}, {'x': 674, 'name': 'banana', 'y': 570.5}, {'name': 'banana', 'x': 675, 'y': 570.5}]}",,,,,,,,,,,,,,
TivIAtz1sWuRopred,"{'dragY': 8, 'dragX': 9, 'event': 'dragend', 'timestamp': 1680023781350}","{'event': 'dragend', 'dragY': 24, 'timestamp': 1680023783608, 'dragX': -25}","{'event': 'dragend', 'dragY': 8, 'timestamp': 1680023786116, 'dragX': -23}","{'dragY': 4, 'dragX': 15, 'event': 'dragend', 'timestamp': 1680023788098}","{'dragX': -9, 'timestamp': 1680023790142, 'dragY': 8, 'event': 'dragend'}","{'timestamp': 1680023793538, 'dragX': 21, 'event': 'dragend', 'dragY': 6}","{'correct': True, 'attempts': 1, 'locations': [{'x': 150, 'name': 'applebasket', 'y': 525}, {'name': 'bananabasket', 'x': 150, 'y': 525}, {'name': 'apple', 'x': 138, 'y': 570.5}, {'x': 128, 'name': 'apple', 'y': 570.5}, {'y': 570.5, 'name': 'apple', 'x': 84}, {'name': 'apple', 'x': 220, 'y': 570.5}, {'name': 'banana', 'x': 701, 'y': 570.5}, {'x': 615, 'y': 570.5, 'name': 'banana'}], 'timestamp': 1680023795531, 'event': 'checkcorrect', 'fails': 0}","{'timestamp': 1680023795535, 'event': 'success', 'fails': 0, 'attempts': 1, 'correct': True, 'locations': [{'y': 525, 'x': 150, 'name': 'applebasket'}, {'name': 'bananabasket', 'x': 150, 'y': 525}, {'y': 570.5, 'name': 'apple', 'x': 138}, {'y': 570.5, 'name': 'apple', 'x': 128}, {'name': 'apple', 'x': 84, 'y': 570.5}, {'y': 570.5, 'x': 220, 'name': 'apple'}, {'name': 'banana', 'x': 701, 'y': 570.5}, {'name': 'banana', 'x': 615, 'y': 570.5}]}",,,,,,,,,,,,,,
Z7SpYO22HIBbPMpurple,"{'dragX': -7, 'timestamp': 1680622211664, 'dragY': 20, 'event': 'dragend'}","{'dragY': 28, 'dragX': 1, 'timestamp': 1680622212855, 'event': 'dragend'}","{'dragY': 14, 'event': 'dragend', 'timestamp': 1680622213881, 'dragX': 17}","{'event': 'dragend', 'timestamp': 1680622215272, 'dragX': 41, 'dragY': 6}","{'event': 'dragend', 'timestamp': 1680622216249, 'dragY': 52, 'dragX': 3}","{'timestamp': 1680622216960, 'event': 'dragend', 'dragX': 3, 'dragY': 45}","{'dragX': 29, 'dragY': 16, 'event': 'dragend', 'timestamp': 1680622218151}","{'event': 'checkcorrect', 'locations': [{'x': 150, 'name': 'applebasket', 'y': 525}, {'x': 150, 'name': 'bananabasket', 'y': 525}, {'x': 135, 'name': 'apple', 'y': 570.5}, {'y': 570.5, 'x': 133, 'name': 'apple'}, {'name': 'apple', 'y': 570.5, 'x': 146}, {'y': 570.5, 'x': 153, 'name': 'apple'}, {'name': 'banana', 'x': 634, 'y': 570.5}, {'x': 688, 'y': 570.5, 'name': 'banana'}], 'correct': True, 'timestamp': 1680622219681, 'attempts': 1, 'fails': 0}","{'correct': True, 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'x': 150, 'name': 'bananabasket', 'y': 525}, {'name': 'apple', 'y': 570.5, 'x': 135}, {'x': 133, 'y': 570.5, 'name': 'apple'}, {'x': 146, 'name': 'apple', 'y': 570.5}, {'x': 153, 'y': 570.5, 'name': 'apple'}, {'name': 'banana', 'x': 634, 'y': 570.5}, {'y': 570.5, 'x': 688, 'name': 'banana'}], 'fails': 0, 'timestamp': 1680622219681, 'event': 'success', 'attempts': 1}",,,,,,,,,,,,,
RophlMz2pnT4Tjpurple,"{'event': 'dragend', 'dragX': -1, 'dragY': 12, 'timestamp': 1680018299306}","{'event': 'dragend', 'timestamp': 1680018301347, 'dragY': -10, 'dragX': -3}","{'event': 'dragend', 'dragY': 8, 'dragX': -11, 'timestamp': 1680018303156}","{'dragY': -4, 'event': 'dragend', 'dragX': -17, 'timestamp': 1680018304959}","{'timestamp': 1680018306865, 'dragY': 4, 'dragX': -1, 'event': 'dragend'}","{'timestamp': 1680018308839, 'event': 'dragend', 'dragX': 3, 'dragY': 20}","{'dragY': 15, 'event': 'dragend', 'dragX': -11, 'timestamp': 1680018310332}","{'timestamp': 1680018311541, 'correct': True, 'fails': 0, 'attempts': 1, 'locations': [{'y': 525, 'x': 150, 'name': 'applebasket'}, {'name': 'bananabasket', 'y': 525, 'x': 150}, {'x': 142, 'y': 570.5, 'name': 'apple'}, {'y': 570.5, 'name': 'apple', 'x': 99}, {'name': 'apple', 'y': 570.5, 'x': 163}, {'y': 570.5, 'name': 'apple', 'x': 115}, {'name': 'banana', 'x': 658, 'y': 570.5}, {'x': 650, 'y': 570.5, 'name': 'banana'}], 'event': 'checkcorrect'}","{'event': 'success', 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'name': 'bananabasket', 'x': 150, 'y': 525}, {'y': 570.5, 'x': 142, 'name': 'apple'}, {'y': 570.5, 'x': 99, 'name': 'apple'}, {'y': 570.5, 'x': 163, 'name': 'apple'}, {'x': 115, 'y': 570.5, 'name': 'apple'}, {'y': 570.5, 'x': 658, 'name': 'banana'}, {'name': 'banana', 'y': 570.5, 'x': 650}], 'timestamp': 1680018311544, 'correct': True, 'fails': 0, 'attempts': 1}",,,,,,,,,,,,,
orGrN0W4PmMnXYred,"{'timestamp': 1680029277152, 'dragX': -39.20001220703125, 'event': 'dragend', 'dragY': 26}","{'dragX': -39.20001220703125, 'event': 'dragend', 'dragY': 6.999999999999545, 'timestamp': 1680029278639}","{'dragX': 0.79998779296875, 'event': 'dragend', 'dragY': 6, 'timestamp': 1680029280444}","{'dragY': 28, 'timestamp': 1680029283066, 'event': 'dragend', 'dragX': 16.79998779296875}","{'dragX': 2.79998779296875, 'timestamp': 1680029285025, 'dragY': 16, 'event': 'dragend'}","{'dragY': -8, 'dragX': -1.20001220703125, 'event': 'dragend', 'timestamp': 1680029286936}","{'dragX': 10.79998779296875, 'timestamp': 1680029288918, 'dragY': -16, 'event': 'dragend'}","{'attempts': 1, 'timestamp': 1680029290817, 'locations': [{'y': 525, 'x': 150, 'name': 'applebasket'}, {'y': 525, 'name': 'bananabasket', 'x': 150}, {'y': 570.5, 'name': 'apple', 'x': 144}, {'x': 151, 'y': 570.5, 'name': 'apple'}, {'name': 'apple', 'x': 199, 'y': 570.5}, {'y': 570.5, 'x': 138, 'name': 'apple'}, {'name': 'banana', 'x': 654, 'y': 570.5}, {'x': 633, 'name': 'banana', 'y': 570.5}], 'correct': True, 'fails': 0, 'event': 'checkcorrect'}","{'correct': True, 'attempts': 1, 'timestamp': 1680029290822, 'fails': 0, 'event': 'success', 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'y': 525, 'x': 150, 'name': 'bananabasket'}, {'y': 570.5, 'x': 144, 'name': 'apple'}, {'x': 151, 'y': 570.5, 'name': 'apple'}, {'x': 199, 'y': 570.5, 'name': 'apple'}, {'y': 570.5, 'x': 138, 'name': 'apple'}, {'x': 654, 'y': 570.5, 'name': 'banana'}, {'y': 570.5, 'x': 633, 'name': 'banana'}]}",,,,,,,,,,,,,
AGOdVu74gfVMP7red,"{'event': 'dragend', 'timestamp': 1680029304293, 'dragX': -30, 'dragY': 16.015625}","{'dragX': 12, 'dragY': -17.984375, 'timestamp': 1680029305369, 'event': 'dragend'}","{'dragY': -19.984375, 'dragX': 16, 'timestamp': 1680029306217, 'event': 'dragend'}","{'dragX': 44, 'event': 'dragend', 'dragY': 6.015625, 'timestamp': 1680029307317}","{'event': 'dragend', 'dragY': 32.015625, 'dragX': -6, 'timestamp': 1680029308254}","{'dragY': 2.015625, 'event': 'dragend', 'dragX': -6, 'timestamp': 1680029309355}","{'event': 'checkcorrect', 'locations': [{'x': 150, 'name': 'applebasket', 'y': 525}, {'x': 150, 'name': 'bananabasket', 'y': 525}, {'name': 'apple', 'y': 570.5, 'x': 192}, {'name': 'apple', 'x': 166, 'y': 570.5}, {'y': 570.5, 'name': 'apple', 'x': 201}, {'y': 570.5, 'x': 178, 'name': 'apple'}, {'y': 570.5, 'name': 'banana', 'x': 606}, {'name': 'banana', 'x': 649, 'y': 570.5}], 'fails': 0, 'timestamp': 1680029310279, 'correct': True, 'attempts': 1}","{'attempts': 1, 'correct': True, 'event': 'success', 'fails': 0, 'timestamp': 1680029310286, 'locations': [{'x': 150, 'name': 'applebasket', 'y': 525}, {'name': 'bananabasket', 'y': 525, 'x': 150}, {'y': 570.5, 'name': 'apple', 'x': 192}, {'name': 'apple', 'x': 166, 'y': 570.5}, {'y': 570.5, 'name': 'apple', 'x': 201}, {'x': 178, 'y': 570.5, 'name': 'apple'}, {'name': 'banana', 'x': 606, 'y': 570.5}, {'x': 649, 'name': 'banana', 'y': 570.5}]}",,,,,,,,,,,,,,
eoMZxUK4khXpzfpurple,"{'dragX': 0, 'timestamp': 1680194696360, 'event': 'dragend', 'dragY': 22}","{'event': 'dragend', 'dragY': 22, 'dragX': 4, 'timestamp': 1680194698060}","{'dragX': -10, 'event': 'dragend', 'dragY': 18, 'timestamp': 1680194699576}","{'timestamp': 1680194701510, 'event': 'dragend', 'dragY': -14, 'dragX': 6}","{'timestamp': 1680194703293, 'dragY': 18, 'event': 'dragend', 'dragX': 16}","{'dragY': 26, 'event': 'dragend', 'dragX': 20, 'timestamp': 1680194704828}","{'attempts': 1, 'fails': 0, 'locations': [{'name': 'applebasket', 'y': 525, 'x': 150}, {'name': 'bananabasket', 'x': 150, 'y': 525}, {'y': 570.5, 'name': 'apple', 'x': 136}, {'name': 'apple', 'y': 570.5, 'x': 96}, {'x': 146, 'name': 'apple', 'y': 570.5}, {'name': 'apple', 'x': 144, 'y': 570.5}, {'name': 'banana', 'y': 570.5, 'x': 622}, {'y': 570.5, 'name': 'banana', 'x': 684}], 'event': 'checkcorrect', 'correct': True, 'timestamp': 1680194706097}","{'fails': 0, 'correct': True, 'timestamp': 1680194706101, 'attempts': 1, 'event': 'success', 'locations': [{'name': 'applebasket', 'x': 150, 'y': 525}, {'name': 'bananabasket', 'y': 525, 'x': 150}, {'x': 136, 'name': 'apple', 'y': 570.5}, {'name': 'apple', 'y': 570.5, 'x': 96}, {'name': 'apple', 'x': 146, 'y': 570.5}, {'x': 144, 'name': 'apple', 'y': 570.5}, {'x': 622, 'y': 570.5, 'name': 'banana'}, {'x': 684, 'y': 570.5, 'name': 'banana'}]}",,,,,,,,,,,,,,
XckY2QM5ENLITAred,"{'dragX': 2.79998779296875, 'dragY': 38, 'event': 'dragend', 'timestamp': 1680023490310}","{'timestamp': 1680023491716, 'dragX': -5.20001220703125, 'event': 'dragend', 'dragY': 16}","{'event': 'dragend', 'dragY': 22, 'timestamp': 1680023493304, 'dragX': 12.79998779296875}","{'dragX': -7.20001220703125, 'dragY': 22, 'event': 'dragend', 'timestamp': 1680023495035}","{'event': 'dragend', 'dragX': -11.20001220703125, 'dragY': 22, 'timestamp': 1680023496002}","{'event': 'dragend', 'dragY': 24, 'dragX': 0.79998779296875, 'timestamp': 1680023497409}","{'attempts': 1, 'locations': [{'y': 525, 'name': 'applebasket', 'x': 150}, {'y': 525, 'x': 150, 'name': 'bananabasket'}, {'y': 570.5, 'name': 'apple', 'x': 156}, {'y': 570.5, 'x': 110, 'name': 'apple'}, {'y': 570.5, 'x': 180, 'name': 'apple'}, {'x': 181, 'y': 570.5, 'name': 'apple'}, {'name': 'banana', 'y': 570.5, 'x': 659}, {'y': 570.5, 'name': 'banana', 'x': 607}], 'correct': True, 'fails': 0, 'timestamp': 1680023499217, 'event': 'checkcorrect'}","{'locations': [{'y': 525, 'x': 150, 'name': 'applebasket'}, {'name': 'bananabasket', 'y': 525, 'x': 150}, {'name': 'apple', 'y': 570.5, 'x': 156}, {'name': 'apple', 'y': 570.5, 'x': 110}, {'y': 570.5, 'name': 'apple', 'x': 180}, {'x': 181, 'y': 570.5, 'name': 'apple'}, {'name': 'banana', 'y': 570.5, 'x': 659}, {'x': 607, 'y': 570.5, 'name': 'banana'}], 'fails': 0, 'attempts': 1, 'correct': True, 'event': 'success', 'timestamp': 1680023499234}",,,,,,,,,,,,,,
eySzqtn656jetdpurple,"{'event': 'dragend', 'dragX': -19, 'timestamp': 1680622253184, 'dragY': 30}","{'event': 'dragend', 'dragY': 12, 'dragX': -7, 'timestamp': 1680622254337}","{'dragX': 5, 'event': 'dragend', 'dragY': -24, 'timestamp': 1680622255207}","{'dragY': 24, 'event': 'dragend', 'dragX': -5, 'timestamp': 1680622256236}","{'dragY': 2, 'event': 'dragend', 'dragX': 7, 'timestamp': 1680622257234}","{'dragY': 20, 'event': 'dragend', 'dragX': -13, 'timestamp': 1680622258418}","{'event': 'checkcorrect', 'fails': 0, 'attempts': 1, 'timestamp': 1680622259332, 'correct': True, 'locations': [{'y': 525, 'x': 150, 'name': 'applebasket'}, {'y': 525, 'name': 'bananabasket', 'x': 150}, {'x': 195, 'y': 570.5, 'name': 'apple'}, {'name': 'apple', 'x': 138, 'y': 570.5}, {'name': 'apple', 'y': 570.5, 'x': 148}, {'name': 'apple', 'x': 145, 'y': 570.5}, {'name': 'banana', 'y': 570.5, 'x': 667}, {'y': 570.5, 'name': 'banana', 'x': 669}]}","{'timestamp': 1680622259334, 'attempts': 1, 'locations': [{'x': 150, 'name': 'applebasket', 'y': 525}, {'y': 525, 'x': 150, 'name': 'bananabasket'}, {'name': 'apple', 'y': 570.5, 'x': 195}, {'y': 570.5, 'name': 'apple', 'x': 138}, {'y': 570.5, 'x': 148, 'name': 'apple'}, {'x': 145, 'y': 570.5, 'name': 'apple'}, {'x': 667, 'y': 570.5, 'name': 'banana'}, {'y': 570.5, 'name': 'banana', 'x': 669}], 'event': 'success', 'fails': 0, 'correct': True}",,,,,,,,,,,,,,
