session,gameNum,turnCount,objectLayer,costCond,visibilityCond,resourceCond,redFirst,counterbalance,purpleBackpackSize,purpleEnergy,purpleScore,purplePoints,purplePointsCumulative,redBackpackSize,redEnergy,redScore,redPoints,redPointsCumulative,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps,environment,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
4ISIiFA1J99JSc,0,17,Items04,high,full,even,True,12.0,4,0,7,0,0,4,0,7,0,0,100.0,0.0,200.0,0.0,0,98,0,False,False,False,0,0,0,0,5,7,7,True,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,1,9,Items06,high,full,even,True,12.0,4,48,4,192,192,4,42,4,168,168,55.0,0.0,110.0,0.0,0,52,0,False,False,False,0,0,0,0,7,4,4,True,2,"4,4"
4ISIiFA1J99JSc,2,10,Items03,high,full,even,True,12.0,4,46,5,230,398,4,4,3,12,180,75.0,9.0,150.0,18.0,1,69,9,True,False,True,0,1,0,9,4,3,5,True,2,"3,5"
4ISIiFA1J99JSc,3,9,Items01,high,full,even,True,12.0,4,48,4,192,590,4,42,4,168,336,55.0,2.0,110.0,4.0,2,52,2,True,True,True,1,1,1,1,2,4,4,False,2,"4,4"
4ISIiFA1J99JSc,4,17,Items11,high,full,even,False,12.0,4,0,7,0,566,4,0,7,0,336,100.0,39.0,200.0,78.0,8,104,39,True,True,True,4,4,18,21,12,7,7,False,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,5,18,Items05,high,full,even,True,12.0,4,0,7,0,566,4,0,7,0,336,102.5,23.5,200.0,47.0,7,122,35,True,True,True,3,4,23,12,6,7,7,False,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,6,9,Items08,high,full,even,True,12.0,4,48,5,240,806,4,30,3,90,426,61.0,9.0,122.0,18.0,1,58,9,True,False,True,0,1,0,9,9,3,5,True,2,"5,3"
4ISIiFA1J99JSc,7,9,Items02,high,full,even,True,12.0,4,36,3,108,884,4,42,5,210,636,61.0,9.0,122.0,18.0,1,58,9,True,True,False,1,0,9,0,3,5,3,True,2,"5,3"
4ISIiFA1J99JSc,8,17,Items10,high,full,even,True,12.0,4,0,7,0,866,4,0,7,0,636,100.0,30.0,200.0,60.0,6,116,30,True,True,True,3,3,13,17,11,7,7,True,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,9,9,Items00,high,full,even,False,12.0,4,42,4,168,1034,4,48,4,192,828,55.0,0.0,110.0,0.0,0,52,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
