session,costCond,visibilityCond,resourceCond,counterbalance,purpleBackpackSize,redBackpackSize,purplePoints,redPoints,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps
4ISIiFA1J99JSc,high,full,even,12.0,4,4,1376,1272,882.5,134.5,1760.0,269.0,29,893,146,True,True,True,14,15,76,70
4cKdZNL492Ie0V,high,self,uneven,6.0,5,3,1247,932,933.0,254.0,1861.0,508.0,58,970,280,True,True,True,32,26,146,134
4jqu3Fu3bRJBW3,low,self,uneven,14.0,3,5,2462,3276,1132.0,0.0,1132.0,0.0,0,1044,0,False,False,False,0,0,0,0
4zprMdo2BmCToc,low,full,uneven,9.0,3,5,2874,3454,1008.0,176.0,1008.0,176.0,45,922,176,True,True,True,19,26,86,90
69qumWi30zt8LB,high,self,uneven,9.0,3,5,330,1121,1032.0,13.0,2007.0,26.0,1,1020,13,True,False,True,0,1,0,13
69w4WM83iWOtRA,low,full,even,15.0,4,4,2949,3108,1104.0,0.0,1104.0,0.0,0,975,0,False,False,False,0,0,0,0
8lJhZWe3AcL1vB,low,full,even,2.0,4,4,3226,3183,1022.0,34.0,1022.0,34.0,4,960,34,True,True,True,2,2,17,17
8vpplWa1LA4tuJ,low,self,uneven,11.0,3,5,2404,3030,1165.0,41.0,1165.0,41.0,6,1043,41,True,False,True,0,6,0,41
9L0u3N594S7Tk5,high,self,even,6.0,4,4,827,759,1004.0,2.0,1968.0,4.0,1,1010,2,True,False,True,0,1,0,2
9Ww7oIT2IOq2Z2,low,full,even,4.0,4,4,2844,3202,1081.0,150.0,1081.0,150.0,34,977,148,True,True,True,18,16,80,68
A9f87dW16vP5cI,high,self,even,1.0,4,4,1260,1137,913.0,163.0,1821.0,326.0,32,972,188,True,True,True,15,17,71,117
AGOdVu74gfVMP7,low,full,even,12.0,4,4,2932,2675,1163.0,261.0,1163.0,261.0,51,1054,261,True,True,True,27,24,135,126
At5uLcV1gpuWFx,high,self,even,9.0,4,4,1184,1168,914.5,115.0,1804.0,230.0,27,907,115,True,True,True,13,14,53,62
AzuOzsa7YRyHF2,low,self,uneven,13.0,3,5,1811,2890,1283.0,56.0,1283.0,56.0,10,1131,56,True,True,True,9,1,46,10
Bj5ET9K9eXGWRE,high,full,uneven,0.0,5,3,1239,365,1002.0,0.0,1984.0,0.0,0,1109,0,False,False,False,0,0,0,0
CMHilxYAIrvn3c,low,self,uneven,14.0,3,5,2539,2871,1188.0,67.0,1188.0,67.0,11,1018,67,True,True,True,2,9,9,58
Ca0LA3R5gMWqRO,high,full,uneven,2.0,5,3,1132,478,1036.0,64.0,2002.0,128.0,15,1100,69,True,True,True,8,7,39,30
DJyWGrmCI4hedo,high,full,even,1.0,4,4,701,894,1034.5,6.0,1999.0,12.0,1,993,6,True,True,False,1,0,6,0
DlLaVuEDRhESNS,low,self,even,0.0,4,4,2768,2697,1165.0,0.0,1165.0,0.0,0,1021,0,False,False,False,0,0,0,0
DmpVBEJ1KtUGx2,high,self,even,8.0,4,4,1290,612,1008.0,18.0,1936.0,36.0,8,1028,58,True,False,True,0,8,0,58
