,Red Policy,Purple Policy,Red Reward,Purple Reward,Total Reward,Red Helping Actions Before,Purple Helping Actions Before,Red Helping Actions After,Purple Helping Actions After
0,selfish,selfish,196,236,432,1,0,0,1
1,selfish,selfish,148,208,356,2,2,0,0
2,selfish,selfish,236,208,444,0,1,1,0
3,selfish,selfish,244,200,444,3,3,0,0
4,selfish,selfish,180,276,456,3,4,1,0
5,selfish,selfish,136,228,364,2,2,0,0
6,selfish,selfish,276,280,556,4,4,0,0
7,selfish,selfish,236,248,484,1,2,1,0
8,selfish,selfish,236,256,492,3,2,0,1
9,selfish,selfish,132,192,324,1,1,0,0
10,selfish,selfish,216,224,440,2,2,0,0
11,selfish,selfish,120,216,336,2,1,0,0
12,selfish,selfish,144,232,376,0,1,2,0
13,selfish,selfish,156,240,396,2,2,0,0
14,selfish,selfish,196,208,404,2,2,0,0
15,selfish,selfish,196,244,440,2,1,0,1
16,selfish,selfish,228,216,444,2,2,0,0
17,selfish,selfish,228,208,436,2,2,0,0
18,selfish,selfish,164,200,364,2,2,0,0
19,selfish,selfish,64,208,272,1,2,1,0
20,selfish,selfish,176,208,384,1,1,0,0
21,selfish,selfish,236,224,460,0,1,1,0
22,selfish,selfish,268,296,564,4,4,0,0
23,selfish,selfish,208,132,340,2,2,0,0
24,selfish,selfish,228,204,432,1,1,0,0
25,selfish,selfish,112,244,356,2,2,0,0
26,selfish,selfish,224,148,372,1,1,0,0
27,selfish,selfish,168,216,384,1,1,0,0
28,selfish,selfish,180,236,416,1,0,0,1
29,selfish,selfish,172,228,400,0,1,1,0
30,selfish,selfish,140,200,340,1,1,0,0
31,selfish,selfish,188,228,416,1,1,0,0
32,selfish,selfish,268,280,548,0,0,0,0
33,selfish,selfish,212,240,452,3,3,0,0
34,selfish,selfish,236,204,440,1,1,0,0
35,selfish,selfish,216,108,324,2,2,0,0
36,selfish,selfish,188,204,392,2,2,0,0
37,selfish,selfish,244,232,476,0,1,1,0
38,selfish,selfish,196,208,404,2,1,0,1
39,selfish,selfish,236,196,432,3,3,0,0
40,selfish,selfish,188,200,388,1,1,0,0
41,selfish,selfish,276,276,552,4,3,0,1
42,selfish,selfish,140,176,316,1,0,0,0
43,selfish,selfish,268,296,564,0,0,0,0
44,selfish,selfish,104,224,328,2,2,1,0
45,selfish,selfish,188,224,412,1,0,0,1
46,selfish,selfish,180,216,396,1,1,0,0
47,selfish,selfish,196,208,404,2,1,0,1
48,selfish,selfish,216,196,412,3,3,0,0
49,selfish,selfish,156,216,372,2,1,0,1
50,selfish,selfish,220,252,472,3,3,0,0
51,selfish,selfish,236,248,484,3,3,0,0
52,selfish,selfish,276,296,572,4,4,0,0
53,selfish,selfish,196,248,444,1,0,0,1
54,selfish,selfish,196,212,408,1,1,0,0
55,selfish,selfish,228,248,476,3,3,0,0
56,selfish,selfish,152,120,272,2,2,0,0
57,selfish,selfish,208,200,408,3,3,0,0
58,selfish,selfish,236,240,476,3,3,0,0
59,selfish,selfish,172,160,332,2,1,0,1
60,selfish,selfish,196,200,396,3,3,0,0
61,selfish,selfish,188,156,344,1,2,1,0
62,selfish,selfish,220,212,432,0,1,1,0
63,selfish,selfish,268,276,544,4,4,0,0
